n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.05,26,1000,498710.01294754574,4987.100129475457,1.0,705.3712231850948
100,100,1.0,1,1.0,0.05,27,1000,502958.31758428446,5029.583175842845,1.0,788.5325725835166
100,100,1.0,1,1.0,0.05,28,1000,506444.7211310403,5064.447211310403,1.0,763.5882319473078
100,100,1.0,1,1.0,0.05,29,1000,506381.783917655,5063.8178391765505,1.0,774.0441263652855
100,100,1.0,1,1.0,0.05,30,1000,509394.3506697947,5093.943506697947,1.0,816.6090265962137
100,100,1.0,1,1.0,0.05,31,1000,506328.14281895343,5063.281428189534,1.0,790.4158883736457
100,100,1.0,1,1.0,0.05,32,1000,508208.8998049021,5082.088998049021,1.0,794.381095222484
100,100,1.0,1,1.0,0.05,33,1000,504723.2584990529,5047.232584990529,1.0,791.9147588880982
100,100,1.0,1,1.0,0.05,34,1000,507106.2885054097,5071.062885054097,1.0,868.872192258429
100,100,1.0,1,1.0,0.05,35,1000,504051.7362989709,5040.517362989709,1.0,792.1396111732068
100,100,1.0,1,1.0,0.05,36,1000,506372.61954942945,5063.726195494294,1.0,836.4688319288836
100,100,1.0,1,1.0,0.05,37,1000,506759.6075981492,5067.5960759814925,1.0,800.0538229678511
100,100,1.0,1,1.0,0.05,38,1000,505433.2594319419,5054.332594319419,1.0,815.009575978066
100,100,1.0,1,1.0,0.05,39,1000,504935.0036833043,5049.350036833043,1.0,807.3078875257249
100,100,1.0,1,1.0,0.05,40,1000,507575.8919996078,5075.758919996078,1.0,787.4834723041912
100,100,1.0,1,1.0,0.05,41,1000,510255.9532622577,5102.559532622577,1.0,844.9259094225831
100,100,1.0,1,1.0,0.05,42,1000,510692.5660377423,5106.925660377423,1.0,794.1000098200093
100,100,1.0,1,1.0,0.05,43,1000,507698.3093056731,5076.983093056731,1.0,774.3160573812663
100,100,1.0,1,1.0,0.05,44,1000,513445.71276633686,5134.457127663369,1.0,830.2087613912369
100,100,1.0,1,1.0,0.05,45,1000,507122.16130585334,5071.221613058533,1.0,790.9978454007567
100,100,1.0,1,1.0,0.05,46,1000,502560.6413686949,5025.606413686949,1.0,764.324627360718
100,100,1.0,1,1.0,0.05,47,1000,507126.36386300594,5071.263638630059,1.0,794.8454071035825
100,100,1.0,1,1.0,0.05,48,1000,505383.91524144216,5053.839152414422,1.0,839.7225389835119
100,100,1.0,1,1.0,0.05,49,1000,502652.74497979577,5026.527449797958,1.0,751.3737035069962
100,100,1.0,1,1.0,0.06,0,1000,502905.14638039196,5029.051463803919,1.0,834.5923019248711
100,100,1.0,1,1.0,0.06,1,1000,500494.95783848804,5004.949578384881,1.0,813.8153778803321
100,100,1.0,1,1.0,0.06,2,1000,505948.58670932136,5059.4858670932135,1.0,806.9167195935531
100,100,1.0,1,1.0,0.06,3,1000,504259.3916697321,5042.593916697321,1.0,766.6106896359679
100,100,1.0,1,1.0,0.06,4,1000,503435.79180890875,5034.357918089087,1.0,768.7585711393957
100,100,1.0,1,1.0,0.06,5,1000,506156.2851585228,5061.562851585228,1.0,788.0149565625494
100,100,1.0,1,1.0,0.06,6,1000,506521.9534243721,5065.219534243722,1.0,781.988000123888
100,100,1.0,1,1.0,0.06,7,1000,503319.89168556425,5033.198916855643,1.0,730.7776896716277
100,100,1.0,1,1.0,0.06,8,1000,507641.61396740226,5076.416139674023,1.0,783.9821690429102
100,100,1.0,1,1.0,0.06,9,1000,501583.1417153328,5015.831417153328,1.0,814.1108447040449
100,100,1.0,1,1.0,0.06,10,1000,501671.33491155185,5016.713349115518,1.0,784.5055543459837
100,100,1.0,1,1.0,0.06,11,1000,502445.50052050257,5024.455005205025,1.0,750.937953161934
100,100,1.0,1,1.0,0.06,12,1000,512759.0255032654,5127.590255032654,1.0,865.1495502600822
100,100,1.0,1,1.0,0.06,13,1000,509096.4884672741,5090.964884672741,1.0,741.8366580302679
100,100,1.0,1,1.0,0.06,14,1000,503629.0734797929,5036.290734797929,1.0,774.5130663578867
