n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.3,44,1000,3042.7324152880847,1521.3662076440423,0.18,146.04366513948696
2,3,0.3,45,1000,3056.176671906999,1528.0883359534996,0.176,140.27574016770507
2,3,0.3,46,1000,3142.18663308058,1571.09331654029,0.169,143.93643627718484
2,3,0.3,47,1000,3029.441617246759,1514.7208086233795,0.194,168.35192269395873
2,3,0.3,48,1000,3011.468375225997,1505.7341876129985,0.163,140.08326757164593
2,3,0.3,49,1000,2964.929939916252,1482.464969958126,0.207,127.68921964185552
3,3,0.0,0,1000,925.5849127336847,308.5283042445616,1.0,0.0
3,3,0.0,1,1000,1018.7945128426481,339.59817094754936,1.0,0.0
3,3,0.0,2,1000,993.4099532156185,331.13665107187285,1.0,0.0
3,3,0.0,3,1000,2004.765442170853,668.2551473902844,1.0,0.0
3,3,0.0,4,1000,1010.6742875335418,336.8914291778473,1.0,0.0
3,3,0.0,5,1000,994.4275116652434,331.4758372217478,1.0,0.0
3,3,0.0,6,1000,1016.2592374455586,338.75307914851953,1.0,0.0
3,3,0.0,7,1000,1032.9092860310159,344.30309534367194,1.0,0.0
3,3,0.0,8,1000,980.6546731880001,326.88489106266667,1.0,0.0
3,3,0.0,9,1000,997.4281917715545,332.4760639238515,1.0,0.0
3,3,0.0,10,1000,966.8578082120905,322.28593607069683,1.0,0.0
3,3,0.0,11,1000,2009.244224475062,669.7480748250207,1.0,0.0
3,3,0.0,12,1000,1033.8688184099979,344.62293946999927,1.0,0.0
3,3,0.0,13,1000,1021.7599337818184,340.58664459393947,1.0,0.0
3,3,0.0,14,1000,1033.68117260649,344.56039086883,1.0,0.0
3,3,0.0,15,1000,1011.7661613127375,337.2553871042458,1.0,0.0
3,3,0.0,16,1000,998.33497937628,332.77832645876,1.0,0.0
3,3,0.0,17,1000,1016.7768933914626,338.92563113048755,1.0,0.0
3,3,0.0,18,1000,968.9003758080717,322.96679193602387,1.0,0.0
3,3,0.0,19,1000,1003.1839309718848,334.3946436572949,1.0,0.0
3,3,0.0,20,1000,999.5581416481263,333.1860472160421,1.0,0.0
3,3,0.0,21,1000,979.4068291067723,326.46894303559077,1.0,0.0
3,3,0.0,22,1000,1000.6373238267953,333.54577460893177,1.0,0.0
3,3,0.0,23,1000,1032.5398546220624,344.17995154068745,1.0,0.0
3,3,0.0,24,1000,957.4866235255722,319.1622078418574,1.0,0.0
3,3,0.0,25,1000,1050.5681605945247,350.18938686484154,1.0,0.0
3,3,0.0,26,1000,1033.376285183486,344.4587617278287,1.0,0.0
3,3,0.0,27,1000,996.4918917513623,332.1639639171208,1.0,0.0
3,3,0.0,28,1000,999.2347278688068,333.0782426229356,1.0,0.0
3,3,0.0,29,1000,1009.6615247778227,336.55384159260757,1.0,0.0
3,3,0.0,30,1000,1036.7484579064983,345.5828193021661,1.0,0.0
3,3,0.0,31,1000,983.5535340351053,327.85117801170173,1.0,0.0
3,3,0.0,32,1000,983.2005477575831,327.73351591919436,1.0,0.0
